DATA STORAGE FILE
version:1.0.0
//CATEGORY|PREFIX|CURRENT|TOTAL|RENTED|LOST|AVAILABLE
//ASSET|STATUS|CLIENT|DATE
**INFORMATION
SMALL|1|31|30|0|0|30
MEDIUM|2|21|20|0|1|19
LARGE|3|26|25|1|0|24
**DATA-S
1001|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1002|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1003|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1004|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1005|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1006|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1007|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1008|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1009|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1010|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1011|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1012|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1013|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1014|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1015|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1016|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1017|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1018|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1019|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1020|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1021|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
